All event log messages.
Date:	2016-10-22 01:51:36
System Name:	14000-500407
Controller Name:	
Controller Id	14000-500407

RobotWare: 6.03.00.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	603-1 Absolute Accuracy
	Contact L
	623-1 Multitasking
	604-1 MultiMove Coordinated
	608-1 World Zones
	611-1 Path Recovery
	612-1 Path Offset
	613-1 Collision Detection
	841-1 EtherNet/IP Scanner/Adapter
	1341-1/1520-1 Integrated Vision Interface
	988-1 RW Add-In Prepared
	688-1 RobotStudio App Connect
	617-1 FlexPendant Interface
	616-1 PC Interface

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	Drive System IRB 14000
	Hall Sensor Calibration
	IRB 14000-0.5/0.5

SmartGripperV3_3
	Key:	
Options:	
	SmartGripperV3.3

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
61969     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:15:49 	The program pointer of task Shared has been reset.	{args: "5", "0", "Shared"}
61970     	I   	Operational         	10155   	Program restarted                       	2016-10-19 09:15:49 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB_R"}
61971     	I   	Operational         	10155   	Program restarted                       	2016-10-19 09:15:49 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The originator could not be determined.	{args: "2", "T_ROB_L"}
61972     	I   	Operational         	10150   	Program started                         	2016-10-19 09:15:49 	Execution of task MotionLoggerL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "MotionLoggerL"}
61973     	I   	Operational         	10150   	Program started                         	2016-10-19 09:15:49 	Execution of task MotionLoggerR has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "MotionLoggerR"}
61974     	I   	Operational         	10150   	Program started                         	2016-10-19 09:15:49 	Execution of task Shared has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "5", "Shared"}
61975     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:15:49 	The task MotionLoggerL has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "3", "MotionLoggerL"}
61976     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:15:49 	The task MotionLoggerR has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "4", "MotionLoggerR"}
61977     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:15:49 	The task Shared has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "5", "Shared"}
61978     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:15:49 	The task MotionSupL has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "6", "MotionSupL"}
61979     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:15:49 	The task T_ROB_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "1", "T_ROB_R"}
61980     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:15:49 	The task T_ROB_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "2", "T_ROB_L"}
61981     	I   	Operational         	10150   	Program started                         	2016-10-19 09:15:49 	Execution of task MotionLoggerL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "MotionLoggerL"}
61982     	I   	Operational         	10150   	Program started                         	2016-10-19 09:15:49 	Execution of task MotionLoggerR has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "MotionLoggerR"}
61983     	I   	Operational         	10150   	Program started                         	2016-10-19 09:15:49 	Execution of task Shared has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "5", "Shared"}
61984     	E   	IO & Communication  	71367   	No communication with I/O device        	2016-10-19 09:15:49 	 During start-up, no communication was established with I/O device Hand_L with address 192.168.125.40 on the network EtherNetIP. 	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
61985     	E   	IO & Communication  	71367   	No communication with I/O device        	2016-10-19 09:15:49 	 During start-up, no communication was established with I/O device Hand_R with address 192.168.125.30 on the network EtherNetIP. 	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
61986     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:15:49 	The gearbox at rob_R_1 of robot ROB_R needs service.	{args: "rob_R_1", "ROB_R"}
61987     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:15:49 	The gearbox at rob_R_2 of robot ROB_R needs service.	{args: "rob_R_2", "ROB_R"}
61988     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:15:49 	The gearbox at rob_L_1 of robot ROB_L needs service.	{args: "rob_L_1", "ROB_L"}
61989     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:15:49 	The gearbox at rob_L_2 of robot ROB_L needs service.	{args: "rob_L_2", "ROB_L"}
61990     	I   	Operational         	10015   	Manual mode selected                    	2016-10-19 09:16:11 	The system is in the Manual mode.	{args: }
61991     	I   	Operational         	10012   	Safety guard stop state                 	2016-10-19 09:16:11 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
61992     	I   	IO & Communication  	71276   	Communication established with I/O device	2016-10-19 09:16:14 	 Communication established with I/O device Hand_R with address 192.168.125.30 on network EtherNetIP. 	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
61993     	I   	IO & Communication  	71276   	Communication established with I/O device	2016-10-19 09:16:14 	 Communication established with I/O device Hand_L with address 192.168.125.40 on network EtherNetIP. 	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
61994     	I   	Operational         	10010   	Motors OFF state                        	2016-10-19 09:16:16 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
61995     	I   	Operational         	10011   	Motors ON state                         	2016-10-19 09:16:17 	The system is in the Motors ON state.	{args: }
61996     	I   	Operational         	10016   	Automatic mode requested                	2016-10-19 09:16:17 	The system has been ordered to go to the Automatic mode.	{args: }
61997     	I   	Operational         	10017   	Automatic mode confirmed                	2016-10-19 09:16:18 	The system is in the Automatic mode.	{args: }
61998     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:16:39 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
61999     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:16:39 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
62000     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:16:39 	The program pointer of task MotionSupL has been reset.	{args: "6", "0", "MotionSupL"}
62001     	I   	Operational         	10052   	Regain start                            	2016-10-19 09:16:41 	A regain movement has started.	{args: "0"}
62002     	I   	Operational         	10053   	Regain ready                            	2016-10-19 09:16:41 	The regain movement is ready.	{args: "0"}
62003     	I   	Operational         	10151   	Program started                         	2016-10-19 09:16:41 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
62004     	I   	Operational         	10151   	Program started                         	2016-10-19 09:16:41 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
62005     	I   	Operational         	10151   	Program started                         	2016-10-19 09:16:41 	Execution of task MotionSupL has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "6", "MotionSupL"}
62006     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:16:43 	The task MotionSupL has stopped. The reason is that an external or internal stop has occurred. 	{args: "6", "MotionSupL"}
62007     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:16:43 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
62008     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:16:43 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
62009     	I   	Operational         	10045   	System restarted                        	2016-10-19 09:17:18 	System was restarted. 	{args: }
62010     	W   	Operational         	12700   	Missing time zone information           	2016-10-19 09:17:18 	No time zone information has been specified.	{args: }
62011     	E   	Operational         	10304   	An update has been ordered              	2016-10-19 09:18:17 	An update of program configuration is done.	{args: "0", "0", "0", "0"}
62012     	I   	Operational         	10010   	Motors OFF state                        	2016-10-19 09:18:18 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
62013     	I   	Operational         	10017   	Automatic mode confirmed                	2016-10-19 09:18:18 	The system is in the Automatic mode.	{args: }
62014     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:18:18 	The program pointer of task MotionLoggerL has been reset.	{args: "3", "0", "MotionLoggerL"}
62015     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:18:18 	The program pointer of task MotionLoggerR has been reset.	{args: "4", "0", "MotionLoggerR"}
