Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-500407 1 2016-06-12 17:17:55 5.67640 4.28480 -1.39160
14kL-500407 2 2016-06-12 17:18:16 4.68740 3.23840 -1.44900
14kL-500407 3 2016-06-12 17:18:43 4.70570 3.13880 -1.56690
14kL-500407 4 2016-06-12 17:19:15 2.99310 2.73520 -0.25790
14kL-500407 5 2016-06-12 17:20:04 3.93920 5.06330 1.12410
14kL-500407 6 2016-06-12 17:20:32 0.55180 6.08080 5.52900
14kL-500407 7 2016-06-12 17:20:59 1.33630 6.14050 4.80420
14kR-500407 1 2016-06-12 17:37:16 4.37310 5.90240 1.52930
14kR-500407 2 2016-06-12 17:37:37 5.52190 5.01880 -0.50310
14kR-500407 3 2016-06-12 17:38:03 1.54140 2.92760 1.38620
14kR-500407 4 2016-06-12 17:38:33 4.00510 5.71060 1.70550
14kR-500407 5 2016-06-12 17:39:22 3.05790 4.06910 1.01120
14kR-500407 6 2016-06-12 17:39:51 0.94830 4.05410 3.10580
14kR-500407 7 2016-06-12 17:40:16 2.84210 2.63840 -0.20370
14kR-501161 1 2019-04-17 14:33:10 2.13280 2.11780 -0.01500
14kR-501161 2 2019-04-17 14:33:35 5.00730 5.00700 -0.00030
14kR-501161 3 2019-04-17 14:34:07 3.41810 3.39640 -0.02170
14kR-501161 4 2019-04-17 14:34:39 0.34420 0.36940 0.02520
14kR-501161 5 2019-04-17 14:35:33 1.75480 1.63680 -0.11800
14kR-501161 6 2019-04-17 14:36:05 5.30520 5.27070 -0.03450
14kR-501161 7 2019-04-17 14:36:31 0.48770 0.47230 -0.01540
14kL-501161 1 2019-05-16 23:11:03 0.31540 0.31250 -0.00290
14kL-501161 2 2019-05-16 23:11:28 0.15520 0.15370 -0.00150
14kL-501161 3 2019-05-16 23:12:00 2.97790 2.95710 -0.02080
14kL-501161 4 2019-05-16 23:12:34 4.19010 4.18180 -0.00830
14kL-501161 5 2019-05-16 23:13:30 3.61830 3.40800 -0.21030
14kL-501161 6 2019-05-16 23:14:01 5.45560 5.46910 0.01350
14kL-501161 7 2019-05-16 23:14:31 0.11890 0.10190 -0.01700
14kL-501161 1 2019-05-16 23:23:20 0.31250 0.31300 0.00050
14kL-501161 2 2019-05-16 23:23:45 0.15370 0.15230 -0.00140
14kL-501161 3 2019-05-16 23:24:17 2.95710 2.95970 0.00260
14kL-501161 4 2019-05-16 23:24:52 4.18180 4.17940 -0.00240
14kL-501161 5 2019-05-16 23:25:48 3.40800 3.40860 0.00060
14kL-501161 6 2019-05-16 23:26:18 5.46910 5.46900 -0.00010
14kL-501161 7 2019-05-16 23:26:49 0.10190 0.10160 -0.00030
14kR-501161 1 2019-05-16 23:30:29 2.11780 2.12050 0.00270
14kR-501161 2 2019-05-16 23:30:54 5.00700 5.00650 -0.00050
14kR-501161 3 2019-05-16 23:31:25 3.39640 3.40220 0.00580
14kR-501161 4 2019-05-16 23:31:58 0.36940 0.35530 -0.01410
14kR-501161 5 2019-05-16 23:32:51 1.63680 1.63340 -0.00340
14kR-501161 6 2019-05-16 23:33:22 5.27070 5.28180 0.01110
14kR-501161 7 2019-05-16 23:33:48 0.47230 0.47270 0.00040
14kL-501161 1 2019-05-16 23:46:57 0.31300 0.31210 -0.00090
14kL-501161 2 2019-05-16 23:47:23 0.15230 0.15390 0.00160
14kL-501161 3 2019-05-16 23:47:55 2.95970 2.95820 -0.00150
14kL-501161 4 2019-05-16 23:48:29 4.17940 4.18000 0.00060
14kL-501161 5 2019-05-16 23:49:25 3.40860 3.40630 -0.00230
14kL-501161 6 2019-05-16 23:49:55 5.46900 5.47010 0.00110
14kL-501161 7 2019-05-16 23:50:25 0.10160 0.09970 -0.00190
14kR-501161 1 2019-05-16 23:55:22 2.12050 2.12010 -0.00040
14kR-501161 2 2019-05-16 23:55:46 5.00650 5.00780 0.00130
14kR-501161 3 2019-05-16 23:56:18 3.40220 3.40040 -0.00180
14kR-501161 4 2019-05-16 23:56:50 0.35530 0.35220 -0.00310
14kR-501161 5 2019-05-16 23:57:44 1.63340 1.63360 0.00020
14kR-501161 6 2019-05-16 23:58:15 5.28180 5.27880 -0.00300
14kR-501161 7 2019-05-16 23:58:41 0.47270 0.47420 0.00150
14kR-501161 1 2019-07-13 13:05:59 2.12010 2.11990 -0.00020
14kR-501161 2 2019-07-13 13:06:24 5.00780 5.00870 0.00090
14kR-501161 3 2019-07-13 13:06:56 3.40040 3.40660 0.00620
14kR-501161 4 2019-07-13 13:07:28 0.35220 0.34360 -0.00860
14kR-501161 5 2019-07-13 13:08:22 1.63360 1.60660 -0.02700
14kR-501161 6 2019-07-13 13:08:53 5.27880 5.28480 0.00600
14kR-501161 7 2019-07-13 13:09:19 0.47420 0.47040 -0.00380
14kL-501161 1 2019-07-13 13:12:33 0.31210 0.31570 0.00360
14kL-501161 2 2019-07-13 13:12:58 0.15390 0.15300 -0.00090
14kL-501161 3 2019-07-13 13:13:30 2.95820 2.96210 0.00390
14kL-501161 4 2019-07-13 13:14:04 4.18000 4.19790 0.01790
14kL-501161 5 2019-07-13 13:15:00 3.40630 3.40200 -0.00430
14kL-501161 6 2019-07-13 13:15:30 5.47010 5.48010 0.01000
14kL-501161 7 2019-07-13 13:16:00 0.09970 0.10110 0.00140
