All event log messages.
Date:	2016-11-02 03:42:11
System Name:	14000-500407
Controller Name:	
Controller Id	14000-500407

RobotWare: 6.03.00.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	603-1 Absolute Accuracy
	Contact L
	623-1 Multitasking
	604-1 MultiMove Coordinated
	608-1 World Zones
	611-1 Path Recovery
	612-1 Path Offset
	613-1 Collision Detection
	841-1 EtherNet/IP Scanner/Adapter
	1341-1/1520-1 Integrated Vision Interface
	988-1 RW Add-In Prepared
	688-1 RobotStudio App Connect
	617-1 FlexPendant Interface
	616-1 PC Interface

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	Drive System IRB 14000
	Hall Sensor Calibration
	IRB 14000-0.5/0.5

SmartGripperV3_3
	Key:	
Options:	
	SmartGripperV3.3

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
79270     	E   	System              	20054   	Not allowed command                     	2016-10-30 09:02:50 	The command is NOT allowed when the program is executing.	{args: "20"}
79271     	E   	System              	20054   	Not allowed command                     	2016-10-30 09:02:54 	The command is NOT allowed when the program is executing.	{args: "20"}
79272     	I   	Operational         	10125   	Program stopped                         	2016-10-30 09:02:58 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
79273     	I   	Operational         	10125   	Program stopped                         	2016-10-30 09:02:58 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
79274     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-30 09:03:04 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
79275     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-30 09:03:04 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
79276     	I   	Operational         	10052   	Regain start                            	2016-10-30 09:03:06 	A regain movement has started.	{args: "0"}
79277     	I   	Operational         	10053   	Regain ready                            	2016-10-30 09:03:06 	The regain movement is ready.	{args: "0"}
79278     	I   	Operational         	10151   	Program started                         	2016-10-30 09:03:06 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
79279     	I   	Operational         	10151   	Program started                         	2016-10-30 09:03:06 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
79280     	W   	Program             	41595   	Socket error                            	2016-10-30 09:12:25 	Task: T_ROB_R.The connection has been closed by the remote host. Program Ref: /SERVER_R/main/SocketReceive/224.	{args: "T_ROB_R", "/SERVER_R/main/SocketReceive/224", "ERR_SOCK_CLOSED", "-28:10:2::52916:8388608.000000"}
79281     	W   	Program             	41595   	Socket error                            	2016-10-30 09:12:25 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/230.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/230", "ERR_SOCK_CLOSED", "-28:10:2::59344:8388608.000000"}
79282     	W   	Program             	41595   	Socket error                            	2016-10-30 09:13:37 	Task: T_ROB_R.The connection has been closed by the remote host. Program Ref: /SERVER_R/main/SocketReceive/224.	{args: "T_ROB_R", "/SERVER_R/main/SocketReceive/224", "ERR_SOCK_CLOSED", "-28:10:2::52944:8388608.000000"}
79283     	W   	Program             	41595   	Socket error                            	2016-10-30 09:13:37 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/230.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/230", "ERR_SOCK_CLOSED", "-28:10:2::59372:8388608.000000"}
79284     	E   	Motion              	50052   	Joint speed error                       	2016-10-30 09:14:13 	The speed of joint rob_L_7 is wrong relative the ordered speed due to error in system or collision.	{args: "rob_L_7"}
79285     	I   	Operational         	10020   	Execution error state                   	2016-10-30 09:14:13 	The program execution in task T_ROB_R has been stopped due to a spontaneous error.	{args: "1", "T_ROB_R"}
79286     	I   	Operational         	10020   	Execution error state                   	2016-10-30 09:14:13 	The program execution in task T_ROB_L has been stopped due to a spontaneous error.	{args: "2", "T_ROB_L"}
79287     	I   	Operational         	10012   	Safety guard stop state                 	2016-10-30 09:14:13 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
79288     	I   	Operational         	10125   	Program stopped                         	2016-10-30 09:14:13 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
79289     	I   	Operational         	10010   	Motors OFF state                        	2016-10-30 09:14:13 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
79290     	I   	Operational         	10125   	Program stopped                         	2016-10-30 09:14:14 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
79291     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-30 09:14:55 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
79292     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-30 09:14:55 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
79293     	I   	Operational         	10021   	Execution error reset                   	2016-10-30 09:14:55 	 The program execution in task T_ROB_R has left a spontaneous error state. 	{args: "1", "T_ROB_R"}
79294     	I   	Operational         	10021   	Execution error reset                   	2016-10-30 09:14:55 	 The program execution in task T_ROB_L has left a spontaneous error state. 	{args: "2", "T_ROB_L"}
79295     	I   	Operational         	10011   	Motors ON state                         	2016-10-30 09:14:58 	The system is in the Motors ON state.	{args: }
79296     	I   	Operational         	10052   	Regain start                            	2016-10-30 09:14:59 	A regain movement has started.	{args: "0"}
79297     	I   	Operational         	10053   	Regain ready                            	2016-10-30 09:14:59 	The regain movement is ready.	{args: "0"}
79298     	I   	Operational         	10151   	Program started                         	2016-10-30 09:14:59 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
79299     	I   	Operational         	10151   	Program started                         	2016-10-30 09:14:59 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
79300     	W   	Program             	41595   	Socket error                            	2016-10-30 09:17:43 	Task: T_ROB_R.The connection has been closed by the remote host. Program Ref: /SERVER_R/main/SocketReceive/224.	{args: "T_ROB_R", "/SERVER_R/main/SocketReceive/224", "ERR_SOCK_CLOSED", "-28:10:2::52966:8388608.000000"}
79301     	W   	Program             	41595   	Socket error                            	2016-10-30 09:17:43 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/230.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/230", "ERR_SOCK_CLOSED", "-28:10:2::59394:8388608.000000"}
79302     	W   	Program             	41595   	Socket error                            	2016-10-30 09:17:55 	Task: T_ROB_R.The connection has been closed by the remote host. Program Ref: /SERVER_R/main/SocketReceive/224.	{args: "T_ROB_R", "/SERVER_R/main/SocketReceive/224", "ERR_SOCK_CLOSED", "-24:10:2::52974:8388608.000000"}
79303     	W   	Program             	41595   	Socket error                            	2016-10-30 09:17:55 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/230.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/230", "ERR_SOCK_CLOSED", "-24:10:2::59402:8388608.000000"}
79304     	I   	Operational         	10015   	Manual mode selected                    	2016-10-30 09:19:20 	The system is in the Manual mode.	{args: }
